,Text,Questions,Answers
0,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time. Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".","['When did Beyonce start becoming popular?', 'What areas did Beyonce compete in when she was growing up?', ""When did Beyonce leave Destiny's Child and become a solo singer?"", 'In what city and state did Beyonce  grow up? ', 'In which decade did Beyonce become famous?', 'In what R&B group was she the lead singer?', 'What album made her a worldwide known artist?', ""Who managed the Destiny's Child group?"", 'When did Beyoncé rise to fame?', ""What role did Beyoncé have in Destiny's Child?"", 'What was the first album Beyoncé released as a solo artist?', 'When did Beyoncé release Dangerously in Love?', 'How many Grammy awards did Beyoncé win for her first solo album?', ""What was Beyoncé's role in Destiny's Child?"", ""What was the name of Beyoncé's first solo album?""]","['in the late 1990s', 'singing and dancing', '2003', 'Houston, Texas', 'late 1990s', ""Destiny's Child"", 'Dangerously in Love', 'Mathew Knowles', 'late 1990s', 'lead singer', 'Dangerously in Love', '2003', 'five', 'lead singer', 'Dangerously in Love']"
1,"Frédéric François Chopin (/ˈʃoʊpæn/; French pronunciation: ​[fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]; 22 February or 1 March 1810 – 17 October 1849), born Fryderyk Franciszek Chopin,[n 1] was a Polish and French (by citizenship and birth of father) composer and a virtuoso pianist of the Romantic era, who wrote primarily for the solo piano. He gained and has maintained renown worldwide as one of the leading musicians of his era, whose ""poetic genius was based on a professional technique that was without equal in his generation."" Chopin was born in what was then the Duchy of Warsaw, and grew up in Warsaw, which after 1815 became part of Congress Poland. A child prodigy, he completed his musical education and composed his earlier works in Warsaw before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","[""What was Frédéric's nationalities?"", 'In what era was Frédéric active in?', 'For what instrument did Frédéric write primarily for?', 'In what area was Frédéric born in?', 'At what age did Frédéric depart from Poland?', 'What year was Chopin born?', 'What era was Chopin active during?', 'Where did Chopin grow up?', 'What instrument did he mostly compose for?', 'At what age did Chopin  leave Poland?', 'When did Chopin die?', ""What was Chopin's full name?"", ""The majority of Chopin's compositions were for what instrument?"", 'Chopin was active during what era?', 'In what year was Chopin born?', 'In what city was Chopin born and raised?', 'How old was Chopin when he left Poland?', 'In what era of music did Chopin compose?', 'What year did Chopin die?']","['Polish and French', 'Romantic era', 'solo piano', 'Duchy of Warsaw', '20', '1810', 'Romantic era', 'Warsaw', 'solo piano', '20', '17 October 1849', 'Fryderyk Franciszek Chopin', 'solo piano', 'Romantic era', '1810', 'Warsaw', '20', 'Romantic', '1849']"
2,"The exact nature of relations between Tibet and the Ming dynasty of China (1368–1644) is unclear. Analysis of the relationship is further complicated by modern political conflicts and the application of Westphalian sovereignty to a time when the concept did not exist. Some Mainland Chinese scholars, such as Wang Jiawei and Nyima Gyaincain, assert that the Ming dynasty had unquestioned sovereignty over Tibet, pointing to the Ming court's issuing of various titles to Tibetan leaders, Tibetans' full acceptance of these titles, and a renewal process for successors of these titles that involved traveling to the Ming capital. Scholars within China also argue that Tibet has been an integral part of China since the 13th century and that it was thus a part of the Ming Empire. But most scholars outside China, such as Turrell V. Wylie, Melvin C. Goldstein, and Helmut Hoffman, say that the relationship was one of suzerainty, that Ming titles were only nominal, that Tibet remained an independent region outside Ming control, and that it simply paid tribute until the Jiajing Emperor (1521–1566), who ceased relations with Tibet.",['Who were Wang Jiawei and Nyima Gyaincain?'],['Mainland Chinese scholars']
3,"The iPod is a line of portable media players and multi-purpose pocket computers designed and marketed by Apple Inc. The first line was released on October 23, 2001, about 8½ months after iTunes (Macintosh version) was released. The most recent iPod redesigns were announced on July 15, 2015. There are three current versions of the iPod: the ultra-compact iPod Shuffle, the compact iPod Nano and the touchscreen iPod Touch.","['Which company produces the iPod?', 'When was the original iPod released?', 'How many different types of iPod are currently available?', 'What kind of device is the iPod?', 'The iPod Touch uses what kind of interface?', 'In what year was the first iPod released?', 'What company manufactures the iPod?', 'How many versions of the iPod currently exist?', 'Which is the smallest version of the iPod?', 'In what year was the iPod most recently redesigned?']","['Apple', 'October 23, 2001', 'three', 'portable media players', 'touchscreen', '2001', 'Apple', '3', 'Shuffle', '2015']"
4,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time. Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".","['When did Beyonce start becoming popular?', 'What areas did Beyonce compete in when she was growing up?', ""When did Beyonce leave Destiny's Child and become a solo singer?"", 'In what city and state did Beyonce  grow up? ', 'In which decade did Beyonce become famous?', 'In what R&B group was she the lead singer?', 'What album made her a worldwide known artist?', ""Who managed the Destiny's Child group?"", 'When did Beyoncé rise to fame?', ""What role did Beyoncé have in Destiny's Child?"", 'What was the first album Beyoncé released as a solo artist?', 'When did Beyoncé release Dangerously in Love?', 'How many Grammy awards did Beyoncé win for her first solo album?', ""What was Beyoncé's role in Destiny's Child?"", ""What was the name of Beyoncé's first solo album?""]","['in the late 1990s', 'singing and dancing', '2003', 'Houston, Texas', 'late 1990s', ""Destiny's Child"", 'Dangerously in Love', 'Mathew Knowles', 'late 1990s', 'lead singer', 'Dangerously in Love', '2003', 'five', 'lead singer', 'Dangerously in Love']"
5,"Frédéric François Chopin (/ˈʃoʊpæn/; French pronunciation: ​[fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]; 22 February or 1 March 1810 – 17 October 1849), born Fryderyk Franciszek Chopin,[n 1] was a Polish and French (by citizenship and birth of father) composer and a virtuoso pianist of the Romantic era, who wrote primarily for the solo piano. He gained and has maintained renown worldwide as one of the leading musicians of his era, whose ""poetic genius was based on a professional technique that was without equal in his generation."" Chopin was born in what was then the Duchy of Warsaw, and grew up in Warsaw, which after 1815 became part of Congress Poland. A child prodigy, he completed his musical education and composed his earlier works in Warsaw before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","[""What was Frédéric's nationalities?"", 'In what era was Frédéric active in?', 'For what instrument did Frédéric write primarily for?', 'In what area was Frédéric born in?', 'At what age did Frédéric depart from Poland?', 'What year was Chopin born?', 'What era was Chopin active during?', 'Where did Chopin grow up?', 'What instrument did he mostly compose for?', 'At what age did Chopin  leave Poland?', 'When did Chopin die?', ""What was Chopin's full name?"", ""The majority of Chopin's compositions were for what instrument?"", 'Chopin was active during what era?', 'In what year was Chopin born?', 'In what city was Chopin born and raised?', 'How old was Chopin when he left Poland?', 'In what era of music did Chopin compose?', 'What year did Chopin die?']","['Polish and French', 'Romantic era', 'solo piano', 'Duchy of Warsaw', '20', '1810', 'Romantic era', 'Warsaw', 'solo piano', '20', '17 October 1849', 'Fryderyk Franciszek Chopin', 'solo piano', 'Romantic era', '1810', 'Warsaw', '20', 'Romantic', '1849']"
6,"The exact nature of relations between Tibet and the Ming dynasty of China (1368–1644) is unclear. Analysis of the relationship is further complicated by modern political conflicts and the application of Westphalian sovereignty to a time when the concept did not exist. Some Mainland Chinese scholars, such as Wang Jiawei and Nyima Gyaincain, assert that the Ming dynasty had unquestioned sovereignty over Tibet, pointing to the Ming court's issuing of various titles to Tibetan leaders, Tibetans' full acceptance of these titles, and a renewal process for successors of these titles that involved traveling to the Ming capital. Scholars within China also argue that Tibet has been an integral part of China since the 13th century and that it was thus a part of the Ming Empire. But most scholars outside China, such as Turrell V. Wylie, Melvin C. Goldstein, and Helmut Hoffman, say that the relationship was one of suzerainty, that Ming titles were only nominal, that Tibet remained an independent region outside Ming control, and that it simply paid tribute until the Jiajing Emperor (1521–1566), who ceased relations with Tibet.",['Who were Wang Jiawei and Nyima Gyaincain?'],['Mainland Chinese scholars']
7,"The iPod is a line of portable media players and multi-purpose pocket computers designed and marketed by Apple Inc. The first line was released on October 23, 2001, about 8½ months after iTunes (Macintosh version) was released. The most recent iPod redesigns were announced on July 15, 2015. There are three current versions of the iPod: the ultra-compact iPod Shuffle, the compact iPod Nano and the touchscreen iPod Touch.","['Which company produces the iPod?', 'When was the original iPod released?', 'How many different types of iPod are currently available?', 'What kind of device is the iPod?', 'The iPod Touch uses what kind of interface?', 'In what year was the first iPod released?', 'What company manufactures the iPod?', 'How many versions of the iPod currently exist?', 'Which is the smallest version of the iPod?', 'In what year was the iPod most recently redesigned?']","['Apple', 'October 23, 2001', 'three', 'portable media players', 'touchscreen', '2001', 'Apple', '3', 'Shuffle', '2015']"
8,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time. Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".","['When did Beyonce start becoming popular?', 'What areas did Beyonce compete in when she was growing up?', ""When did Beyonce leave Destiny's Child and become a solo singer?"", 'In what city and state did Beyonce  grow up? ', 'In which decade did Beyonce become famous?', 'In what R&B group was she the lead singer?', 'What album made her a worldwide known artist?', ""Who managed the Destiny's Child group?"", 'When did Beyoncé rise to fame?', ""What role did Beyoncé have in Destiny's Child?"", 'What was the first album Beyoncé released as a solo artist?', 'When did Beyoncé release Dangerously in Love?', 'How many Grammy awards did Beyoncé win for her first solo album?', ""What was Beyoncé's role in Destiny's Child?"", ""What was the name of Beyoncé's first solo album?""]","[[{'text': 'in the late 1990s', 'answer_start': 269}], [{'text': 'singing and dancing', 'answer_start': 207}], [{'text': '2003', 'answer_start': 526}], [{'text': 'Houston, Texas', 'answer_start': 166}], [{'text': 'late 1990s', 'answer_start': 276}], [{'text': ""Destiny's Child"", 'answer_start': 320}], [{'text': 'Dangerously in Love', 'answer_start': 505}], [{'text': 'Mathew Knowles', 'answer_start': 360}], [{'text': 'late 1990s', 'answer_start': 276}], [{'text': 'lead singer', 'answer_start': 290}], [{'text': 'Dangerously in Love', 'answer_start': 505}], [{'text': '2003', 'answer_start': 526}], [{'text': 'five', 'answer_start': 590}], [{'text': 'lead singer', 'answer_start': 290}], [{'text': 'Dangerously in Love', 'answer_start': 505}]]"
9,"Frédéric François Chopin (/ˈʃoʊpæn/; French pronunciation: ​[fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]; 22 February or 1 March 1810 – 17 October 1849), born Fryderyk Franciszek Chopin,[n 1] was a Polish and French (by citizenship and birth of father) composer and a virtuoso pianist of the Romantic era, who wrote primarily for the solo piano. He gained and has maintained renown worldwide as one of the leading musicians of his era, whose ""poetic genius was based on a professional technique that was without equal in his generation."" Chopin was born in what was then the Duchy of Warsaw, and grew up in Warsaw, which after 1815 became part of Congress Poland. A child prodigy, he completed his musical education and composed his earlier works in Warsaw before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","[""What was Frédéric's nationalities?"", 'In what era was Frédéric active in?', 'For what instrument did Frédéric write primarily for?', 'In what area was Frédéric born in?', 'At what age did Frédéric depart from Poland?', 'What year was Chopin born?', 'What era was Chopin active during?', 'Where did Chopin grow up?', 'What instrument did he mostly compose for?', 'At what age did Chopin  leave Poland?', 'When did Chopin die?', ""What was Chopin's full name?"", ""The majority of Chopin's compositions were for what instrument?"", 'Chopin was active during what era?', 'In what year was Chopin born?', 'In what city was Chopin born and raised?', 'How old was Chopin when he left Poland?', 'In what era of music did Chopin compose?', 'What year did Chopin die?']","[[{'text': 'Polish and French', 'answer_start': 182}], [{'text': 'Romantic era', 'answer_start': 276}], [{'text': 'solo piano', 'answer_start': 318}], [{'text': 'Duchy of Warsaw', 'answer_start': 559}], [{'text': '20', 'answer_start': 777}], [{'text': '1810', 'answer_start': 113}], [{'text': 'Romantic era', 'answer_start': 276}], [{'text': 'Warsaw', 'answer_start': 568}], [{'text': 'solo piano', 'answer_start': 318}], [{'text': '20', 'answer_start': 777}], [{'text': '17 October 1849', 'answer_start': 120}], [{'text': 'Fryderyk Franciszek Chopin', 'answer_start': 143}], [{'text': 'solo piano', 'answer_start': 318}], [{'text': 'Romantic era', 'answer_start': 276}], [{'text': '1810', 'answer_start': 113}], [{'text': 'Warsaw', 'answer_start': 568}], [{'text': '20', 'answer_start': 777}], [{'text': 'Romantic', 'answer_start': 276}], [{'text': '1849', 'answer_start': 131}]]"
